Filename 	Type	Descriptor 1	Descriptor 2	Start Time	End Time	Other
140517-000.mp3	Improvisation					
140517-001.mp3	Technique	Scales				
140517-002.mp3	Technique	Octave Leaps				
140517-003.mp3	Technique	Octave Leaps				
140517-004.mp3	Technique	Arpeggios				
140517-005.mp3	Technique	Arpeggios				
140517-006.mp3	Technique	Arpeggios				
140517-007.mp3	Technique	Arpeggios				
140517-008.mp3	Technique	Arpeggios				Distortion
140517-009.mp3	Technique	Arpeggios				Half-Diminished 7ths
140517-010.mp3	Technique	Arpeggios				
140517-011.mp3	Technique	Arpeggios				
140517-012.mp3	Technique	Arpeggios				
140517-013.mp3	Technique	Arpeggios				Distortion
140517-014.mp3	Technique	Arpeggios				
140517-015.mp3	Technique	Rach. Excercises				
140517-016.mp3	Technique	Rach. Excercises				
140517-017.mp3	Removed	Empty				
140517-018.mp3	Sight Reading	Berren	Op. 61			
140517-019.mp3	Sight Reading	Czerny	Op. 849, No. 23			
140517-020.mp3	Sight Reading	Czerny	Op. 636, No. 4			
140517-021.mp3	Sight Reading	Czerny	Op. 636, No. 6			
140517-022.mp3	Sight Reading	Czerny	Op. 636, No. 12			
140517-023.mp3	Sight Reading	Heller	Op. 125, No. 3(?)			Counting
140517-024.mp3	Sight Reading					Counting
140517-025.mp3	Sight Reading	Liszt	S. 141, No. 1			
140517-026.mp3	Speech					
140517-027.mp3	Speech					
140517-028.mp3	Technique	Scales				
140517-029.mp3	Speech					
140517-030.mp3	Removed	Empty				
140517-031.mp3	Improvisation					
140517-032.mp3	Removed	Empty				
140517-033.mp3	Removed	Empty				
140517-034.mp3	Speech					
140517-035.mp3	Technique	French Ornaments				
140517-036.mp3	Removed	Empty				
140517-037.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-038.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-039.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-040.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-041.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-042.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-043.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-044.mp3	Removed	Empty				
140517-045.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-046.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-047.mp3	Removed	Empty				
140517-048.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-049.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 1			FULL
140517-050.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 2			FULL
140517-051.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			FULL
140517-052.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-053.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-054.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-055.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-056.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-057.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-058.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-059.mp3	Removed	Empty				
140517-060.mp3	Repertoire	Bach	BWV 872, Fugue	0:00	1:26	
140517-060.mp3	Repertoire	Bach	BWV 872, Prelude	1:27	3:19	
140517-060.mp3	Repertoire	Bach	BWV 872, Fugue	3:20	3:51	
140517-060.mp3	Repertoire	Bach	BWV 848, Prelude	3:52	5:25	
140517-060.mp3	Repertoire	Bach	BWV 848, Fugue	5:26	End	
140517-061.mp3	Repertoire	Prokofiev	Sonata #4, Mvt. 1			
140517-062.mp3	Repertoire	Prokofiev	Sonata #4, Mvt. 2			
140517-063.mp3	Repertoire	Prokofiev	Sonata #4, Mvt. 3			
140517-064.mp3	Removed	Empty				
140517-065.mp3	Repertoire	Prokofiev	Sonata #4, Mvt. 3	0:00	3:59	
140517-065.mp3	Speech	 		4:00	End	
140517-066.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-067.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-068.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-069.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-070.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-071.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-072.mp3	Repertoire	Rameau	Gavotte et Six Doubles			Singing
140517-073.mp3	Repertoire	Rameau	Gavotte et Six Doubles			Singing
140517-074.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-075.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-076.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-077.mp3	Repertoire	Rameau	Gavotte et Six Doubles			
140517-078.mp3	Removed	Empty				
140517-079.mp3	Removed	Empty				
140517-080.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140517-081.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140517-082.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140517-083.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140517-084.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140517-085.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140517-086.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3			
140517-087.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 3	0:00	2:44	
140517-087.mp3	Repertoire	Prokofiev	Op. 29, Mvt. 2	2:46	End	
